UF,Casos,Estado,Genomas sequenciados,casos_dividido_por_100k,Genomas/100 mil casos
AC,164119,Acre,1426,1.64119,868.9
AL,340964,Alagoas,2957,3.40964,867.2
AM,638306,Amazonas,11647,6.38306,1824.7
AP,186356,Amapá,1078,1.86356,578.5
BA,1829798,Bahia,9935,18.29798,543.0
CE,1489650,Ceará,10368,14.8965,696.0
DF,922479,Distrito Federal,3253,9.22479,352.6
ES,1357566,Espírito Santo,4184,13.57566,308.2
GO,1971841,Goiás,8468,19.71841,429.4
MA,497440,Maranhão,1350,4.9744,271.4
MG,4195045,Minas Gerais,9407,41.95045,224.2
MS,617339,Mato Grosso do Sul,2972,6.17339,481.4
MT,887528,Mato Grosso,1330,8.87528,149.9
PA,885337,Pará,3168,8.85337,357.8
PB,713094,Paraíba,3456,7.13094,484.6
PE,1196373,Pernambuco,8432,11.96373,704.8
PI,433695,Piauí,602,4.33695,138.8
PR,2976143,Paraná,12842,29.76143,431.5
RJ,2861569,Rio de Janeiro,25848,28.61569,903.3
RN,592614,Rio Grande do Norte,2417,5.92614,407.9
RO,488458,Rondônia,1819,4.88458,372.4
RR,190340,Roraima,661,1.9034,347.3
RS,3061643,Rio Grande do Sul,8430,30.61643,275.3
SC,2036754,Santa Catarina,10459,20.36754,513.5
SE,363329,Sergipe,903,3.63329,248.5
SP,6703047,São Paulo,87016,67.03047,1298.2
TO,371950,Tocantins,2589,3.7195,696.1
