Date,Period,Region,State,Relevant variants,Quantity
2023-01-01,Jan 2023,Central-west,Distrito Federal,Others,4
2023-01-01,Jan 2023,Central-west,Goiás,Others,107
2023-01-01,Jan 2023,Central-west,Goiás,XBB.1.5.* (Omicron),8
2023-01-01,Jan 2023,Central-west,Mato Grosso,Others,13
2023-01-01,Jan 2023,Central-west,Mato Grosso do Sul,Others,86
2023-01-01,Jan 2023,Central-west,Mato Grosso do Sul,XBB.1.5.* (Omicron),2
2023-01-01,Jan 2023,Northeast,Alagoas,Others,30
2023-01-01,Jan 2023,Northeast,Bahia,Others,50
2023-01-01,Jan 2023,Northeast,Bahia,XBB.1.5.* (Omicron),1
2023-01-01,Jan 2023,Northeast,Ceará,Others,41
2023-01-01,Jan 2023,Northeast,Maranhão,Others,8
2023-01-01,Jan 2023,Northeast,Maranhão,XBB.1.5.* (Omicron),2
2023-01-01,Jan 2023,Northeast,Paraíba,Others,5
2023-01-01,Jan 2023,Northeast,Pernambuco,Others,23
2023-01-01,Jan 2023,Northeast,Rio Grande do Norte,Others,4
2023-01-01,Jan 2023,North,Acre,Others,1
2023-01-01,Jan 2023,North,Amapá,Others,31
2023-01-01,Jan 2023,North,Amazonas,Others,59
2023-01-01,Jan 2023,North,Amazonas,XBB.1.5.* (Omicron),41
2023-01-01,Jan 2023,North,Pará,Others,21
2023-01-01,Jan 2023,North,Pará,XBB.1.5.* (Omicron),3
2023-01-01,Jan 2023,North,Rondônia,Others,17
2023-01-01,Jan 2023,North,Tocantins,Others,99
2023-01-01,Jan 2023,North,Tocantins,XBB.1.5.* (Omicron),3
2023-01-01,Jan 2023,Southeast,Espírito Santo,Others,113
2023-01-01,Jan 2023,Southeast,Espírito Santo,XBB.1.5.* (Omicron),2
2023-01-01,Jan 2023,Southeast,Minas Gerais,Others,222
2023-01-01,Jan 2023,Southeast,Minas Gerais,XBB.1.5.* (Omicron),3
2023-01-01,Jan 2023,Southeast,Rio de Janeiro,Others,105
2023-01-01,Jan 2023,Southeast,Rio de Janeiro,XBB.1.5.* (Omicron),10
2023-01-01,Jan 2023,Southeast,São Paulo,FE.1.* (Omicron),8
2023-01-01,Jan 2023,Southeast,São Paulo,Others,606
2023-01-01,Jan 2023,Southeast,São Paulo,XBB.1.5.* (Omicron),46
2023-01-01,Jan 2023,South,Paraná,Others,8
2023-01-01,Jan 2023,South,Paraná,XBB.1.5.* (Omicron),1
2023-01-01,Jan 2023,South,Rio Grande do Sul,FE.1.* (Omicron),1
2023-01-01,Jan 2023,South,Rio Grande do Sul,Others,193
2023-01-01,Jan 2023,South,Rio Grande do Sul,XBB.1.5.* (Omicron),1
2023-01-01,Jan 2023,South,Santa Catarina,Others,177
2023-01-01,Jan 2023,South,Santa Catarina,XBB.1.5.* (Omicron),17
2023-02-01,Feb 2023,Central-west,Distrito Federal,Others,23
2023-02-01,Feb 2023,Central-west,Distrito Federal,XBB.1.5.* (Omicron),7
2023-02-01,Feb 2023,Central-west,Goiás,Others,31
2023-02-01,Feb 2023,Central-west,Goiás,XBB.1.5.* (Omicron),16
2023-02-01,Feb 2023,Central-west,Mato Grosso,Others,3
2023-02-01,Feb 2023,Central-west,Mato Grosso,XBB.1.5.* (Omicron),3
2023-02-01,Feb 2023,Central-west,Mato Grosso do Sul,FE.1.* (Omicron),3
2023-02-01,Feb 2023,Central-west,Mato Grosso do Sul,Others,56
2023-02-01,Feb 2023,Central-west,Mato Grosso do Sul,XBB.1.5.* (Omicron),7
2023-02-01,Feb 2023,Northeast,Alagoas,Others,6
2023-02-01,Feb 2023,Northeast,Alagoas,XBB.1.5.* (Omicron),4
2023-02-01,Feb 2023,Northeast,Bahia,FE.1.* (Omicron),12
2023-02-01,Feb 2023,Northeast,Bahia,Others,18
2023-02-01,Feb 2023,Northeast,Bahia,XBB.1.5.* (Omicron),20
2023-02-01,Feb 2023,Northeast,Ceará,Others,32
2023-02-01,Feb 2023,Northeast,Ceará,XBB.1.5.* (Omicron),2
2023-02-01,Feb 2023,Northeast,Maranhão,Others,9
2023-02-01,Feb 2023,Northeast,Maranhão,XBB.1.5.* (Omicron),1
2023-02-01,Feb 2023,Northeast,Paraíba,Others,1
2023-02-01,Feb 2023,Northeast,Paraíba,XBB.1.5.* (Omicron),1
2023-02-01,Feb 2023,Northeast,Pernambuco,Others,7
2023-02-01,Feb 2023,Northeast,Pernambuco,XBB.1.5.* (Omicron),4
2023-02-01,Feb 2023,Northeast,Rio Grande do Norte,Others,7
2023-02-01,Feb 2023,Northeast,Rio Grande do Norte,XBB.1.5.* (Omicron),3
2023-02-01,Feb 2023,Northeast,Sergipe,FE.1.* (Omicron),1
2023-02-01,Feb 2023,Northeast,Sergipe,Others,2
2023-02-01,Feb 2023,Northeast,Sergipe,XBB.1.5.* (Omicron),3
2023-02-01,Feb 2023,North,Acre,Others,3
2023-02-01,Feb 2023,North,Acre,XBB.1.5.* (Omicron),1
2023-02-01,Feb 2023,North,Amapá,Others,11
2023-02-01,Feb 2023,North,Amapá,XBB.1.5.* (Omicron),3
2023-02-01,Feb 2023,North,Amazonas,Others,124
2023-02-01,Feb 2023,North,Amazonas,XBB.1.5.* (Omicron),1352
2023-02-01,Feb 2023,North,Pará,Others,34
2023-02-01,Feb 2023,North,Pará,XBB.1.5.* (Omicron),10
2023-02-01,Feb 2023,North,Rondônia,Others,9
2023-02-01,Feb 2023,North,Rondônia,XBB.1.5.* (Omicron),1
2023-02-01,Feb 2023,North,Tocantins,FE.1.* (Omicron),2
2023-02-01,Feb 2023,North,Tocantins,Others,44
2023-02-01,Feb 2023,North,Tocantins,XBB.1.5.* (Omicron),2
2023-02-01,Feb 2023,Southeast,Espírito Santo,Others,16
2023-02-01,Feb 2023,Southeast,Espírito Santo,XBB.1.5.* (Omicron),11
2023-02-01,Feb 2023,Southeast,Minas Gerais,FE.1.* (Omicron),1
2023-02-01,Feb 2023,Southeast,Minas Gerais,Others,46
2023-02-01,Feb 2023,Southeast,Minas Gerais,XBB.1.5.* (Omicron),12
2023-02-01,Feb 2023,Southeast,Rio de Janeiro,FE.1.* (Omicron),2
2023-02-01,Feb 2023,Southeast,Rio de Janeiro,Others,39
2023-02-01,Feb 2023,Southeast,Rio de Janeiro,XBB.1.5.* (Omicron),69
2023-02-01,Feb 2023,Southeast,São Paulo,FE.1.* (Omicron),44
2023-02-01,Feb 2023,Southeast,São Paulo,Others,201
2023-02-01,Feb 2023,Southeast,São Paulo,XBB.1.5.* (Omicron),180
2023-02-01,Feb 2023,South,Paraná,FE.1.* (Omicron),2
2023-02-01,Feb 2023,South,Paraná,Others,16
2023-02-01,Feb 2023,South,Paraná,XBB.1.5.* (Omicron),9
2023-02-01,Feb 2023,South,Rio Grande do Sul,Others,11
2023-02-01,Feb 2023,South,Rio Grande do Sul,XBB.1.5.* (Omicron),3
2023-02-01,Feb 2023,South,Santa Catarina,FE.1.* (Omicron),5
2023-02-01,Feb 2023,South,Santa Catarina,Others,35
2023-02-01,Feb 2023,South,Santa Catarina,XBB.1.5.* (Omicron),40
2023-03-01,Mar 2023,Central-west,Goiás,Others,33
2023-03-01,Mar 2023,Central-west,Goiás,XBB.1.5.* (Omicron),24
2023-03-01,Mar 2023,Central-west,Goiás,XBB.1.5.70.*+GK.* (Omicron),2
2023-03-01,Mar 2023,Central-west,Mato Grosso,Others,9
2023-03-01,Mar 2023,Central-west,Mato Grosso,XBB.1.5.* (Omicron),6
2023-03-01,Mar 2023,Central-west,Mato Grosso do Sul,FE.1.* (Omicron),8
2023-03-01,Mar 2023,Central-west,Mato Grosso do Sul,Others,60
2023-03-01,Mar 2023,Central-west,Mato Grosso do Sul,XBB.1.5.* (Omicron),26
2023-03-01,Mar 2023,Northeast,Alagoas,FE.1.* (Omicron),8
2023-03-01,Mar 2023,Northeast,Alagoas,Others,5
2023-03-01,Mar 2023,Northeast,Alagoas,XBB.1.5.* (Omicron),7
2023-03-01,Mar 2023,Northeast,Bahia,FE.1.* (Omicron),74
2023-03-01,Mar 2023,Northeast,Bahia,Others,33
2023-03-01,Mar 2023,Northeast,Bahia,XBB.1.5.* (Omicron),56
2023-03-01,Mar 2023,Northeast,Ceará,FE.1.* (Omicron),1
2023-03-01,Mar 2023,Northeast,Ceará,Others,9
2023-03-01,Mar 2023,Northeast,Ceará,XBB.1.5.* (Omicron),6
2023-03-01,Mar 2023,Northeast,Ceará,XBB.1.5.70.*+GK.* (Omicron),9
2023-03-01,Mar 2023,Northeast,Maranhão,FE.1.* (Omicron),1
2023-03-01,Mar 2023,Northeast,Maranhão,Others,18
2023-03-01,Mar 2023,Northeast,Maranhão,XBB.1.5.* (Omicron),12
2023-03-01,Mar 2023,Northeast,Paraíba,Others,1
2023-03-01,Mar 2023,Northeast,Paraíba,XBB.1.5.* (Omicron),3
2023-03-01,Mar 2023,Northeast,Pernambuco,FE.1.* (Omicron),2
2023-03-01,Mar 2023,Northeast,Pernambuco,Others,15
2023-03-01,Mar 2023,Northeast,Pernambuco,XBB.1.5.* (Omicron),19
2023-03-01,Mar 2023,Northeast,Piauí,XBB.1.5.* (Omicron),1
2023-03-01,Mar 2023,Northeast,Rio Grande do Norte,Others,19
2023-03-01,Mar 2023,Northeast,Rio Grande do Norte,XBB.1.5.* (Omicron),1
2023-03-01,Mar 2023,Northeast,Sergipe,XBB.1.5.* (Omicron),4
2023-03-01,Mar 2023,North,Acre,XBB.1.5.* (Omicron),5
2023-03-01,Mar 2023,North,Amapá,Others,7
2023-03-01,Mar 2023,North,Amapá,XBB.1.5.* (Omicron),5
2023-03-01,Mar 2023,North,Amazonas,Others,4
2023-03-01,Mar 2023,North,Amazonas,XBB.1.5.* (Omicron),77
2023-03-01,Mar 2023,North,Pará,JD.1.* (Omicron),2
2023-03-01,Mar 2023,North,Pará,Others,31
2023-03-01,Mar 2023,North,Pará,XBB.1.5.* (Omicron),35
2023-03-01,Mar 2023,North,Rondônia,Others,11
2023-03-01,Mar 2023,North,Rondônia,XBB.1.5.* (Omicron),1
2023-03-01,Mar 2023,North,Tocantins,FE.1.* (Omicron),5
2023-03-01,Mar 2023,North,Tocantins,Others,55
2023-03-01,Mar 2023,North,Tocantins,XBB.1.5.* (Omicron),3
2023-03-01,Mar 2023,Southeast,Espírito Santo,FE.1.* (Omicron),8
2023-03-01,Mar 2023,Southeast,Espírito Santo,Others,14
2023-03-01,Mar 2023,Southeast,Espírito Santo,XBB.1.5.* (Omicron),56
2023-03-01,Mar 2023,Southeast,Espírito Santo,XBB.1.5.70.*+GK.* (Omicron),1
2023-03-01,Mar 2023,Southeast,Minas Gerais,FE.1.* (Omicron),16
2023-03-01,Mar 2023,Southeast,Minas Gerais,Others,39
2023-03-01,Mar 2023,Southeast,Minas Gerais,XBB.1.5.* (Omicron),41
2023-03-01,Mar 2023,Southeast,Rio de Janeiro,FE.1.* (Omicron),8
2023-03-01,Mar 2023,Southeast,Rio de Janeiro,Others,30
2023-03-01,Mar 2023,Southeast,Rio de Janeiro,XBB.1.5.* (Omicron),103
2023-03-01,Mar 2023,Southeast,São Paulo,FE.1.* (Omicron),53
2023-03-01,Mar 2023,Southeast,São Paulo,Others,106
2023-03-01,Mar 2023,Southeast,São Paulo,XBB.1.5.* (Omicron),90
2023-03-01,Mar 2023,South,Paraná,FE.1.* (Omicron),3
2023-03-01,Mar 2023,South,Paraná,Others,16
2023-03-01,Mar 2023,South,Paraná,XBB.1.5.* (Omicron),15
2023-03-01,Mar 2023,South,Rio Grande do Sul,FE.1.* (Omicron),5
2023-03-01,Mar 2023,South,Rio Grande do Sul,Others,43
2023-03-01,Mar 2023,South,Rio Grande do Sul,XBB.1.5.* (Omicron),41
2023-03-01,Mar 2023,South,Santa Catarina,FE.1.* (Omicron),17
2023-03-01,Mar 2023,South,Santa Catarina,Others,44
2023-03-01,Mar 2023,South,Santa Catarina,XBB.1.5.* (Omicron),85
2023-04-01,Apr 2023,Central-west,Distrito Federal,FE.1.* (Omicron),2
2023-04-01,Apr 2023,Central-west,Distrito Federal,Others,25
2023-04-01,Apr 2023,Central-west,Distrito Federal,XBB.1.5.* (Omicron),5
2023-04-01,Apr 2023,Central-west,Goiás,FE.1.* (Omicron),7
2023-04-01,Apr 2023,Central-west,Goiás,Others,22
2023-04-01,Apr 2023,Central-west,Goiás,XBB.1.5.* (Omicron),23
2023-04-01,Apr 2023,Central-west,Mato Grosso,Others,1
2023-04-01,Apr 2023,Central-west,Mato Grosso,XBB.1.5.* (Omicron),2
2023-04-01,Apr 2023,Central-west,Mato Grosso do Sul,FE.1.* (Omicron),6
2023-04-01,Apr 2023,Central-west,Mato Grosso do Sul,Others,20
2023-04-01,Apr 2023,Central-west,Mato Grosso do Sul,XBB.1.5.* (Omicron),7
2023-04-01,Apr 2023,Northeast,Alagoas,FE.1.* (Omicron),12
2023-04-01,Apr 2023,Northeast,Alagoas,Others,19
2023-04-01,Apr 2023,Northeast,Alagoas,XBB.1.5.* (Omicron),12
2023-04-01,Apr 2023,Northeast,Alagoas,XBB.1.5.70.*+GK.* (Omicron),1
2023-04-01,Apr 2023,Northeast,Bahia,FE.1.* (Omicron),100
2023-04-01,Apr 2023,Northeast,Bahia,Others,15
2023-04-01,Apr 2023,Northeast,Bahia,XBB.1.5.* (Omicron),16
2023-04-01,Apr 2023,Northeast,Bahia,XBB.1.5.70.*+GK.* (Omicron),1
2023-04-01,Apr 2023,Northeast,Ceará,FE.1.* (Omicron),9
2023-04-01,Apr 2023,Northeast,Ceará,Others,8
2023-04-01,Apr 2023,Northeast,Ceará,XBB.1.5.* (Omicron),10
2023-04-01,Apr 2023,Northeast,Ceará,XBB.1.5.70.*+GK.* (Omicron),83
2023-04-01,Apr 2023,Northeast,Maranhão,FE.1.* (Omicron),1
2023-04-01,Apr 2023,Northeast,Maranhão,Others,9
2023-04-01,Apr 2023,Northeast,Maranhão,XBB.1.5.* (Omicron),1
2023-04-01,Apr 2023,Northeast,Paraíba,FE.1.* (Omicron),3
2023-04-01,Apr 2023,Northeast,Paraíba,Others,2
2023-04-01,Apr 2023,Northeast,Paraíba,XBB.1.5.* (Omicron),1
2023-04-01,Apr 2023,Northeast,Pernambuco,FE.1.* (Omicron),8
2023-04-01,Apr 2023,Northeast,Pernambuco,Others,9
2023-04-01,Apr 2023,Northeast,Pernambuco,XBB.1.5.* (Omicron),10
2023-04-01,Apr 2023,Northeast,Rio Grande do Norte,FE.1.* (Omicron),1
2023-04-01,Apr 2023,Northeast,Rio Grande do Norte,Others,17
2023-04-01,Apr 2023,Northeast,Rio Grande do Norte,XBB.1.5.* (Omicron),17
2023-04-01,Apr 2023,Northeast,Rio Grande do Norte,XBB.1.5.70.*+GK.* (Omicron),1
