Data,Periodo,Região,Estado,Laboratório,Variante,Variantes relevantes,Classificação,Quantidade
2020-01-01,Jan 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.28,Outras,Não VOC/VOI,1
2020-01-01,Jan 2020,Norte,Pará,Outros,B.1,Outras,Não VOC/VOI,1
2020-01-01,Jan 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,1
2020-01-01,Jan 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.33,Outras,Não VOC/VOI,1
2020-01-01,Jan 2020,Sul,Paraná,FIOCRUZ,B.1.1,Outras,Não VOC/VOI,5
2020-11-01,Nov 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.28,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Centro-oeste,Distrito Federal,Outros,P.2,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Centro-oeste,Goiás,Outros,P.2,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.378,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1,Outras,Não VOC/VOI,11
2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,Outras,Não VOC/VOI,7
2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.240,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,P.2,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.372,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Alagoas,FIOCRUZ,P.2,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Alagoas,Outros,B.1.1.28,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Alagoas,Outros,P.2,Outras,Não VOC/VOI,3
2020-11-01,Nov 2020,Nordeste,Bahia,FIOCRUZ,B.1,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Bahia,Outros,B.1.1.28,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Nordeste,Bahia,Outros,B.1.1.33,Outras,Não VOC/VOI,3
2020-11-01,Nov 2020,Nordeste,Bahia,Outros,N.9,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,3
2020-11-01,Nov 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,6
2020-11-01,Nov 2020,Nordeste,Ceará,FIOCRUZ,C.16,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Ceará,FIOCRUZ,P.2,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Nordeste,Maranhão,FIOCRUZ,N.9,Outras,Não VOC/VOI,4
2020-11-01,Nov 2020,Nordeste,Maranhão,Outros,B.1.1,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Maranhão,Outros,B.1.1.28,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Maranhão,Outros,N.9,Outras,Não VOC/VOI,3
2020-11-01,Nov 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,Outras,Não VOC/VOI,9
2020-11-01,Nov 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,3
2020-11-01,Nov 2020,Nordeste,Paraíba,FIOCRUZ,P.2,Outras,Não VOC/VOI,3
2020-11-01,Nov 2020,Nordeste,Paraíba,FIOCRUZ,P.7,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,B.1.1,Outras,Não VOC/VOI,5
2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,B.1.1.28,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,B.1.1.462,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,N.9,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,P.2,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,P.7,Outras,Não VOC/VOI,2
