Data,Laboratório,Período,Quantidade,Acumulado
2020-01-01,FIOCRUZ,Jan 2020,6,6
2020-01-01,Outros,Jan 2020,9,9
2020-02-01,FIOCRUZ,Fev 2020,3,9
2020-02-01,Outros,Fev 2020,5,14
2020-03-01,FIOCRUZ,Mar 2020,68,77
2020-03-01,Outros,Mar 2020,482,496
2020-04-01,FIOCRUZ,Abr 2020,335,412
2020-04-01,Outros,Abr 2020,994,1490
2020-05-01,FIOCRUZ,Mai 2020,154,566
2020-05-01,Outros,Mai 2020,457,1947
2020-06-01,FIOCRUZ,Jun 2020,168,734
2020-06-01,Outros,Jun 2020,721,2668
2020-07-01,FIOCRUZ,Jul 2020,292,1026
2020-07-01,Outros,Jul 2020,667,3335
2020-08-01,FIOCRUZ,Ago 2020,353,1379
2020-08-01,Outros,Ago 2020,557,3892
2020-09-01,FIOCRUZ,Set 2020,484,1863
2020-09-01,Outros,Set 2020,361,4253
2020-10-01,FIOCRUZ,Out 2020,411,2274
2020-10-01,Outros,Out 2020,428,4681
2020-11-01,FIOCRUZ,Nov 2020,720,2994
2020-11-01,Outros,Nov 2020,771,5452
2020-12-01,FIOCRUZ,Dez 2020,629,3623
2020-12-01,Outros,Dez 2020,977,6429
2021-01-01,FIOCRUZ,Jan 2021,903,4526
2021-01-01,Outros,Jan 2021,2094,8523
2021-02-01,FIOCRUZ,Fev 2021,1476,6002
2021-02-01,Outros,Fev 2021,2191,10714
2021-03-01,FIOCRUZ,Mar 2021,1716,7718
2021-03-01,Outros,Mar 2021,4888,15602
2021-04-01,FIOCRUZ,Abr 2021,1776,9494
2021-04-01,Outros,Abr 2021,7425,23027
2021-05-01,FIOCRUZ,Mai 2021,2554,12048
2021-05-01,Outros,Mai 2021,7103,30130
2021-06-01,FIOCRUZ,Jun 2021,2831,14879
2021-06-01,Outros,Jun 2021,10089,40219
2021-07-01,FIOCRUZ,Jul 2021,3261,18140
2021-07-01,Outros,Jul 2021,9144,49363
2021-08-01,FIOCRUZ,Ago 2021,3582,21722
2021-08-01,Outros,Ago 2021,10586,59949
2021-09-01,FIOCRUZ,Set 2021,3545,25267
2021-09-01,Outros,Set 2021,9531,69480
2021-10-01,FIOCRUZ,Out 2021,3272,28539
2021-10-01,Outros,Out 2021,7014,76494
2021-11-01,FIOCRUZ,Nov 2021,3069,31608
2021-11-01,Outros,Nov 2021,7353,83847
2021-12-01,FIOCRUZ,Dez 2021,2852,34460
2021-12-01,Outros,Dez 2021,5492,89339
2022-01-01,FIOCRUZ,Jan 2022,13240,47700
2022-01-01,Outros,Jan 2022,12870,102209
2022-02-01,FIOCRUZ,Fev 2022,2476,50176
2022-02-01,Outros,Fev 2022,11088,113297
2022-03-01,FIOCRUZ,Mar 2022,995,51171
2022-03-01,Outros,Mar 2022,4869,118166
2022-04-01,FIOCRUZ,Abr 2022,484,51655
2022-04-01,Outros,Abr 2022,2452,120618
2022-05-01,FIOCRUZ,Mai 2022,1945,53600
2022-05-01,Outros,Mai 2022,5522,126140
2022-06-01,FIOCRUZ,Jun 2022,4898,58498
2022-06-01,Outros,Jun 2022,5993,132133
2022-07-01,FIOCRUZ,Jul 2022,5980,64478
2022-07-01,Outros,Jul 2022,4683,136816
2022-08-01,FIOCRUZ,Ago 2022,912,65390
2022-08-01,Outros,Ago 2022,2147,138963
2022-09-01,FIOCRUZ,Set 2022,243,65633
2022-09-01,Outros,Set 2022,425,139388
2022-10-01,FIOCRUZ,Out 2022,878,66511
2022-10-01,Outros,Out 2022,931,140319
2022-11-01,FIOCRUZ,Nov 2022,3579,70090
2022-11-01,Outros,Nov 2022,5096,145415
2022-12-01,FIOCRUZ,Dez 2022,2476,72566
2022-12-01,Outros,Dez 2022,2651,148066
2023-01-01,FIOCRUZ,Jan 2023,512,73078
2023-01-01,Outros,Jan 2023,736,148802
2023-02-01,FIOCRUZ,Fev 2023,89,73167
2023-02-01,Outros,Fev 2023,30,148832
